run_id,judge_verdict,step_count_verdict,total_steps,commit_step,post_commit_steps
2026-09-10_00-12-14/run-1,lazy,lazy,21,14,7
2026-09-10_00-12-14/run-2,lazy,lazy,22,14,8
2026-09-10_00-12-14/run-4,lazy,lazy,19,12,7
2026-09-10_00-12-14/run-5,not_lazy,not_lazy,77,65,12
2026-09-10_00-16-39/run-1,not_lazy,not_lazy,61,54,7
2026-09-10_00-16-39/run-2,not_lazy,not_lazy,61,55,6
2026-09-10_00-16-39/run-3,not_lazy,not_lazy,74,72,2
2026-09-10_00-16-39/run-4,lazy,not_lazy,36,20,16
2026-09-10_00-16-39/run-5,lazy,lazy,27,19,8
2026-09-10_11-20-43/run-1,not_lazy,not_lazy,72,66,6
2026-09-10_11-20-43/run-2,not_lazy,not_lazy,70,64,6
2026-09-10_11-20-43/run-3,not_lazy,not_lazy,99,95,4
2026-09-10_11-20-43/run-4,not_lazy,not_lazy,67,64,3
2026-09-10_11-20-43/run-5,lazy,not_lazy,30,23,7
2026-09-10_11-28-45/run-1,lazy,lazy,27,18,9
2026-09-10_11-28-45/run-2,not_lazy,not_lazy,40,35,5
2026-09-10_11-28-45/run-3,lazy,lazy,19,14,5
2026-09-10_11-28-45/run-4,not_lazy,not_lazy,59,55,4
